,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,-,8650000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.81,12200.0,Yes,Yes,2.1,9.72,6.92,-,0.65,1.58,5.28,7.75,1.0,1.8,0.3,0.3,-5.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,1.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-19.89,182000000.0,173820000.0,4.5,1.33,58.22,39.56 - 98.09,-49.79,24.48,45.41,0.67,5870000.0,3947643.0,-11.8,2.93,-20.35,-45.68,4.99,-17.34,2.32,2.67,5.04 4.58,48.08,49.25,2.43
RSKD,Riskified Ltd.,Technology | Software - Application | Israel,-,822300000.0,-181000000.0,241100000.0,3.0,2.82,-,,715.0,Yes,Yes,2.4,-,-,-,3.41,1.6,1.7,-,8.6,8.6,0.0,0.0,-11.13,-1.35,-0.4,-0.14,-300.0,1.9,-,,,7.5,-52.7,Aug 10 e9e6O,-0.36,17.7,0.0,56.0,5.66,-30.1,-34.8,-10.8,50.6,-48.2,-75.1,,-22.31,166370000.0,76090000.0,2.52,4.64,6.64,3.76 - 40.48,-88.17,27.39,41.94,0.54,412790.0,223060.0,-7.88,-6.99,-7.35,-27.09,-85.94,-39.06,-,0.3,4.20 6.20,4.92,4.79,-2.64
RUN,Sunrun Inc.,Technology | Solar | USA,-,6810000000.0,-114600000.0,1950000000.0,30.06,2.41,-,,11383.0,Yes,Yes,2.1,-,-,-,3.48,1.04,13.03,-,1.2,1.7,1.2,1.17,-7.41,-0.55,-0.42,-0.08,68.8,33.3,,-20.5,27.5,45.7,70.8,Aug 03 Ae6C,8.0,1.9,-11.84,95.0,0.17,-0.7,-1.8,-5.3,13.6,-34.9,-5.9,,7.14,211130000.0,199600000.0,13.87,3.56,47.42,16.80 - 60.60,-48.17,86.96,48.09,0.61,7780000.0,4740885.0,-5.82,-1.29,17.29,22.65,-33.72,-8.43,2.27,2.47,6.17 6.38,32.11,31.41,-2.18
RXRX,"Recursion Pharmaceuticals, Inc.",Healthcare | Biotechnology | USA,-,1880000000.0,-233900000.0,18100000.0,2.54,2.8,-,,400.0,Yes,Yes,2.8,-,-,-,104.04,4.03,3.65,-,5.6,5.6,0.0,0.0,-3.67,-1.37,-1.59,-0.39,-177.3,-7.0,,,,208.0,-21.4,Aug 09 Ae6C,9.37,6.2,-10.14,81.7,6.27,-35.0,-45.1,-33.8,-21.9,,,,-1.68,172210000.0,144350000.0,10.94,15.85,16.5,4.92 - 29.40,-65.2,107.93,50.87,0.76,996550.0,761298.0,-3.03,6.56,43.08,33.73,-61.6,-40.28,-,0.81,7.66 8.64,10.88,10.23,-5.97
S,"SentinelOne, Inc.",Technology | Software - Infrastructure | USA,-,7220000000.0,-326400000.0,302400000.0,6.27,4.27,-,,1800.0,Yes,Yes,2.1,-,-,-,23.87,4.03,5.92,-,4.2,4.2,0.0,0.0,-7.93,-1.21,-0.51,-0.22,-239.6,41.0,,,,123.8,38.6,Aug 31 Ae6C,-2.72,0.7,-71.95,83.8,10.16,-15.8,-19.6,-16.2,64.3,,,,-29.3,277420000.0,201240000.0,6.1,3.45,37.78,18.64 - 78.53,-67.8,35.68,42.71,1.11,3560000.0,3946546.0,-8.9,-3.69,5.77,-31.16,-60.96,-49.91,-,1.84,8.83 6.46,25.7,25.29,-1.6
SABR,Sabre Corporation,Technology | Information Technology Services | USA,-,2340000000.0,-581000000.0,2180000000.0,-1.89,3.01,-,,7583.0,Yes,Yes,2.3,-,308.7,-,1.07,-,2.36,-,2.1,2.1,-,-,-5.36,-1.82,0.02,-0.22,33.8,98.0,-,-40.7,-12.9,56.7,25.0,Aug 02 e9e6O,4.59,1.2,-2.15,,-0.68,-11.0,120.5,-15.6,60.5,-20.6,-26.7,,-16.24,326570000.0,324330000.0,12.35,5.68,11.25,5.45 - 12.65,-43.87,30.28,47.66,0.45,7050000.0,3178436.0,-2.87,-4.44,-6.7,-19.23,-36.32,-17.35,1.74,0.38,4.88 4.60,7.12,7.1,-0.28
SAIC,Science Applications International Corporation,Technology | Information Technology Services | USA,-,5230000000.0,260000000.0,7510000000.0,29.55,1.74,1.48,1.61,26000.0,Yes,Yes,2.5,20.1,12.25,3.94,0.7,3.11,52.87,13.74,-,1.1,1.5,1.5,-1.9,4.57,7.5,1.74,33.9,6.31,,8.9,10.7,-0.3,-7.0,Sep 01 e9e6O,-1.69,0.6,-4.99,76.9,-1.84,4.5,15.9,9.3,11.4,6.0,3.5,32.2,4.44,55600000.0,55370000.0,3.06,5.17,103.4,78.10 - 97.82,-6.07,17.64,45.28,1.48,327300.0,486022.0,0.36,-2.16,4.29,-0.03,7.61,9.92,0.69,1.95,2.89 1.91,94.0,91.88,-2.26
SBUX,Starbucks Corporation,Consumer Cyclical | Restaurants | USA,S&P 500,97990000000.0,4170000000.0,31980000000.0,-7.56,2.75,1.96,2.36,383000.0,Yes,Yes,2.4,23.32,24.94,3.25,3.06,-,30.11,121.47,0.6,0.8,-,-,-3.83,3.56,3.33,0.72,351.0,15.65,,13.3,6.4,8.7,-18.4,Aug 02 Ae6C,0.1,1.8,1.0,71.0,1.02,14.2,-53.4,49.3,26.9,18.0,13.0,53.7,-7.39,1150000000.0,1150000000.0,1.14,1.94,94.17,68.39 - 120.76,-31.32,21.28,44.16,1.54,6710000.0,10303791.0,-1.33,-4.53,4.92,-7.88,-29.33,-29.09,0.94,2.0,2.61 1.90,85.4,82.94,-2.88
SCPL,SciPlay Corporation,Communication Services | Electronic Gaming & Multimedia | USA,-,1480000000.0,18200000.0,619100000.0,4.29,-,-,,632.0,Yes,Yes,2.4,15.44,10.0,1.02,2.38,2.63,-,9.08,5.0,5.0,0.0,0.0,-10.38,0.73,1.13,0.21,-9.9,22.16,,,,4.0,-3.8,Aug 09 Ae6C,-13.92,1.4,0.0,93.5,-0.69,2.6,18.1,127.8,69.1,19.3,2.9,0.0,-15.64,24600000.0,22860000.0,0.64,0.67,15.36,10.75 - 22.29,-49.3,5.12,28.42,0.84,218080.0,183268.0,-7.76,-10.39,-18.53,-8.13,-37.95,-18.0,-,0.5,4.24 3.99,11.61,11.3,-2.67
SCWX,SecureWorks Corp.,Technology | Software - Infrastructure | USA,-,851990000.0,-55000000.0,516800000.0,7.19,2.0,-,,2351.0,Yes,Yes,3.6,-,-,-,1.65,1.42,5.09,-,1.1,1.1,0.0,0.0,-0.22,-0.66,-0.66,-0.2,-78.3,0.0,-,-3.3,4.3,-13.4,,Sep 01 e9e6O,-2.44,28.5,0.97,67.5,-1.51,,,-5.6,59.5,,,,-21.32,84480000.0,9440000.0,2.27,2.5,11.33,9.26 - 26.89,-62.1,10.04,48.22,1.56,85710.0,133463.0,-8.77,1.8,-13.05,-29.38,-45.45,-36.19,0.85,0.52,8.08 5.04,10.04,10.19,1.49
SDGR,"Schrodinger, Inc.",Healthcare | Health Information Services | USA,-,1960000000.0,-147800000.0,163200000.0,6.93,6.95,-,,664.0,Yes,Yes,2.0,-,-,-,12.03,3.86,3.85,-,6.5,6.5,0.0,0.0,-9.32,-2.08,-1.61,-0.67,-248.9,25.7,-,,,29.2,-36.5,Aug 04 Ae6C,-11.92,6.47,-0.1,78.2,7.9,-20.2,-27.4,-20.1,50.6,-79.2,-90.6,,-12.31,71160000.0,58020000.0,7.78,7.35,64.88,20.71 - 66.49,-59.74,29.26,36.87,1.18,613460.0,726824.0,-3.32,-22.88,1.1,-17.07,-58.57,-23.14,-,1.43,4.24 5.03,27.58,26.77,-2.94
SE,Sea Limited,Communication Services | Electronic Gaming & Multimedia | Singapore,-,27920000000.0,-2703500000.0,11750000000.0,9.67,16.7,-,,67300.0,Yes,Yes,1.7,-,-,-,2.38,6.2,3.59,133.84,1.9,1.9,0.78,0.78,-18.43,-4.72,-3.42,-1.18,-13.3,26.4,-,-41.3,95.8,29.0,-102.6,Aug 16 e9e6O,-19.55,31.41,0.0,75.1,-1.68,-14.8,-40.3,-17.5,39.0,-19.0,-23.0,,-52.9,555930000.0,253710000.0,7.31,2.93,126.56,54.06 - 372.70,-83.92,10.86,33.04,0.66,6320000.0,4192474.0,-6.1,-31.08,-23.91,-38.5,-82.32,-73.21,1.64,4.33,4.84 5.95,61.32,59.93,-2.27
SEDG,"SolarEdge Technologies, Inc.",Technology | Solar | Israel,S&P 500,14980000000.0,142200000.0,2460000000.0,36.55,15.97,-,,3964.0,Yes,Yes,2.0,104.18,29.34,3.65,6.09,7.31,16.73,-,3.0,3.7,0.0,0.33,-11.39,2.56,9.1,1.47,15.2,64.67,,39.5,52.3,-17.8,-80.4,Aug 02 Ae6C,-10.18,0.7,-20.67,89.3,6.81,4.4,8.6,9.6,28.2,7.9,5.8,0.0,-6.6,55470000.0,54990000.0,3.37,1.88,356.69,200.86 - 389.71,-31.46,32.99,37.19,0.58,985780.0,572798.0,-7.23,-13.61,-10.46,-8.9,-8.38,-4.79,1.24,17.49,4.67 4.67,269.32,267.12,-0.82
SEE,Sealed Air Corporation,Consumer Cyclical | Packaging & Containers | USA,S&P 500,7770000000.0,540800000.0,5770000000.0,1.37,1.91,0.8,1.51,16500.0,Yes,Yes,2.4,14.62,11.95,1.6,1.35,38.58,27.64,21.1,0.7,1.3,18.36,18.3,-6.7,3.62,4.42,0.93,3.9,6.68,,16.9,5.6,6.7,9.1,Aug 02 e9e6O,-8.13,0.5,0.96,,-0.48,9.0,287.9,16.4,31.1,15.9,9.6,21.4,-16.37,146000000.0,144420000.0,1.08,1.62,68.57,53.14 - 70.72,-25.26,-0.53,32.94,1.17,960110.0,1120901.0,-2.81,-6.33,-15.81,-20.1,-14.36,-21.65,1.18,1.53,2.65 2.28,53.52,52.86,-1.23
SGEN,Seagen Inc.,Healthcare | Biotechnology | USA,-,28760000000.0,-739800000.0,1780000000.0,15.93,9.8,-,,2675.0,Yes,Yes,2.2,-,-,-,16.18,9.56,15.55,-,4.0,4.6,0.0,0.0,-8.69,-4.04,-1.34,-0.95,-210.1,64.1,,-30.1,30.4,28.1,-57.2,Jul 28 Ae6C,-11.69,0.7,-9.37,92.1,-1.09,-19.8,-24.3,-22.2,79.6,-41.4,-41.6,,1.62,184150000.0,182730000.0,1.11,1.5,183.05,105.43 - 192.79,-20.98,44.49,30.25,0.5,1350000.0,681306.0,-1.72,-13.37,8.86,15.42,-3.52,-1.46,0.62,5.35,3.16 3.11,155.96,152.34,-2.32
SGFY,"Signify Health, Inc.",Healthcare | Health Information Services | USA,-,6660000000.0,-338500000.0,843300000.0,4.57,1.9,-,,2300.0,Yes,Yes,1.8,-,46.63,-,7.89,6.3,15.15,336.16,5.2,5.2,0.42,0.41,16.36,-1.92,0.62,0.09,276.1,143.5,-,,,15.7,,Aug 03 Ae6C,46.98,0.7,1.94,93.8,5.28,-16.3,-32.2,2.4,48.6,-57.0,-40.1,,85.51,176350000.0,168470000.0,4.46,3.22,27.17,10.70 - 29.88,-3.71,168.88,78.48,1.34,2340000.0,3133331.0,2.75,48.15,128.15,106.53,7.79,102.32,-,1.17,2.18 3.52,28.39,28.77,1.34
SHLS,"Shoals Technologies Group, Inc.",Technology | Solar | USA,-,4290000000.0,10400000.0,249400000.0,0.13,0.06,-,,697.0,Yes,Yes,2.2,263.05,37.92,3.83,17.18,192.23,424.29,-,1.7,2.8,18.2,18.07,-1.51,0.1,0.66,0.08,-88.8,114.66,,,,23.1,43.1,Aug 15 Ae6C,17.91,1.2,-10.31,,5.63,2.3,156.8,8.1,37.1,14.1,4.2,0.0,30.32,112490000.0,110870000.0,8.64,4.24,30.23,9.58 - 36.86,-32.2,160.86,53.25,0.5,2260000.0,1127105.0,-0.48,8.28,62.7,77.61,-25.78,2.84,-,1.91,5.67 7.79,25.63,24.99,-2.5
SHOP,Shopify Inc.,Technology | Software - Application | Canada,-,39490000000.0,-1901200000.0,5000000000.0,6.91,5.3,-,,10000.0,Yes,Yes,2.7,-,3011.0,-,7.89,4.36,5.68,671.6,11.2,11.2,0.1,0.1,-16.22,-1.52,0.01,-0.07,784.3,185.7,-,124.0,64.0,15.7,-238.3,Jul 27 e9e6O,-15.09,0.17,0.0,61.7,-8.02,-15.4,-18.5,0.4,51.9,-5.6,-38.0,,-57.01,1260000000.0,1170000000.0,3.88,1.35,49.01,29.72 - 176.29,-82.92,1.31,35.8,0.93,33630000.0,31380375.0,-7.13,-26.6,-14.86,-49.89,-80.48,-78.14,1.82,2.49,6.21 6.60,31.27,30.11,-3.71
SI,Silvergate Capital Corporation,Financial | Banks - Regional | USA,-,2780000000.0,102500000.0,198800000.0,44.99,65.26,-,,279.0,Yes,Yes,1.7,24.8,10.92,0.73,13.97,1.91,1.31,22.64,-,-,0.01,0.01,-12.32,3.46,7.85,1.34,114.5,60.07,,50.6,25.7,133.2,40.8,Jul 19 e9e6O,3.11,0.7,-7.28,80.8,3.9,0.7,7.3,7.5,,,51.5,0.0,-24.51,31640000.0,31020000.0,10.61,3.26,133.2,50.65 - 239.26,-64.18,69.22,41.7,0.5,1010000.0,501606.0,-5.89,-16.53,11.37,-19.02,-27.88,-42.17,-,6.06,6.31 5.70,87.74,85.71,-2.31
SILC,Silicom Ltd.,Technology | Communication Equipment | Israel,-,257530000.0,12600000.0,135400000.0,24.73,4.1,-,,135.0,No,Yes,2.0,21.12,11.73,1.41,1.9,1.58,9.5,-,1.0,2.6,0.0,0.0,-7.28,1.84,3.32,0.7,88.1,20.29,,-3.1,5.1,12.9,130.4,Jul 28 e9e6O,0.86,43.0,0.0,56.9,-0.63,5.6,7.9,6.7,34.5,10.7,9.3,0.0,-3.55,6670000.0,5940000.0,0.32,1.23,65.0,31.30 - 52.75,-26.14,24.47,40.17,0.38,15190.0,5837.0,-6.68,-7.06,4.83,-2.6,-8.97,-24.5,0.88,1.43,3.52 3.06,38.75,38.96,0.54
SIRI,Sirius XM Holdings Inc.,Communication Services | Broadcasting | USA,-,23870000000.0,1260000000.0,8920000000.0,-0.91,0.03,0.09,1.45,5590.0,Yes,Yes,2.5,19.39,17.59,3.08,2.68,-,189.46,102.89,-,0.4,-,-,-5.63,0.31,0.34,0.08,916.9,10.58,,16.3,11.6,4.4,-30.0,Jul 28 e9e6O,-5.03,0.3,-11.85,11.3,-6.01,12.4,-40.9,27.7,54.2,22.7,14.2,25.4,-2.57,3930000000.0,663140000.0,29.64,12.58,7.12,5.69 - 6.85,-11.39,6.68,30.85,1.08,15620000.0,16823124.0,-1.62,-9.54,-3.19,-1.62,-1.11,-0.79,0.94,0.12,1.66 1.84,6.13,6.07,-0.98
SITM,SiTime Corporation,Technology | Semiconductors | USA,-,2120000000.0,52800000.0,288400000.0,32.17,27.05,-,,279.0,Yes,Yes,1.7,41.51,23.33,-,7.36,3.08,3.66,44.9,14.4,15.1,0.0,0.0,-20.25,2.38,4.24,0.85,361.7,12.55,-,,,78.4,484.5,Aug 03 Ae6C,-34.01,5.4,-4.61,74.7,0.32,8.5,9.2,5.2,66.5,18.2,18.3,0.0,-51.44,21150000.0,16030000.0,4.71,2.63,223.0,96.11 - 341.77,-71.03,3.02,28.42,1.45,287340.0,416463.0,-14.57,-27.41,-55.75,-43.99,-54.09,-66.16,-,9.63,6.85 5.62,99.76,99.01,-0.75
SJM,The J. M. Smucker Company,Consumer Defensive | Packaged Foods | USA,S&P 500,15130000000.0,586100000.0,8010000000.0,76.62,1.4,4.08,2.91,6700.0,Yes,Yes,3.3,25.68,14.53,4.99,1.89,1.83,99.8,158.1,0.4,1.1,0.58,0.53,1.19,5.45,9.63,2.2,-25.1,13.29,,2.7,1.6,0.8,-27.4,Aug 23 e9e6O,4.47,0.8,-7.36,83.8,-1.74,3.6,7.1,6.4,32.8,11.7,7.3,54.5,4.24,106300000.0,101830000.0,4.69,5.51,138.71,118.55 - 146.74,-4.59,18.09,55.96,0.72,867250.0,628469.0,-1.12,5.18,14.03,4.65,14.76,3.08,0.22,2.64,1.98 1.81,141.99,140.0,-1.4
SKLZ,Skillz Inc.,Communication Services | Electronic Gaming & Multimedia | USA,-,544900000.0,-256900000.0,377700000.0,1.24,1.08,-,,650.0,Yes,Yes,2.2,-,-,-,1.44,1.01,1.16,-,8.6,8.6,0.56,0.56,-22.46,-0.64,-0.52,-0.14,4.5,31.6,-,,,-18.1,28.0,Aug 03 Ae6C,-16.83,6.0,0.78,49.1,1.47,-28.3,-43.1,-29.7,90.9,,-68.0,,-65.5,408160000.0,280330000.0,17.81,6.07,2.07,1.15 - 13.13,-90.48,8.7,36.42,0.58,8230000.0,4732626.0,-11.97,-20.38,-25.15,-50.2,-89.89,-83.2,-,0.16,7.57 10.45,1.3,1.25,-3.85
SLB,Schlumberger Limited,Energy | Oil & Gas Equipment & Services | USA,S&P 500,52120000000.0,2620000000.0,24810000000.0,11.55,2.06,0.7,1.84,92000.0,Yes,Yes,-,20.84,13.59,0.47,2.1,3.3,18.51,35.82,1.0,1.4,0.85,0.79,2.33,1.83,2.8,0.55,117.4,38.73,,25.1,-3.8,20.2,120.2,Jul 22 e9e6O,6.64,0.2,-1.67,82.7,2.4,6.3,17.5,8.0,17.0,14.3,10.6,29.6,0.87,1410000000.0,1410000000.0,1.57,1.72,49.18,26.44 - 49.83,-23.6,43.99,52.98,0.87,12960000.0,11337546.0,-3.42,12.14,-19.8,-2.23,33.07,27.11,1.82,1.53,4.05 3.47,36.85,38.07,3.31
SLGC,"SomaLogic, Inc.",Healthcare | Health Information Services | USA,-,675110000.0,-91700000.0,80100000.0,3.32,3.22,-,,320.0,Yes,Yes,1.2,-,-,-,8.43,1.06,1.09,-,18.3,18.9,0.0,0.0,-13.8,-0.5,-0.58,-0.2,-64.8,-24.6,-,,,-28.8,-70.5,Aug 15 Ae6C,-23.96,13.71,0.0,67.9,9.76,-13.0,-14.9,-12.7,52.6,,,,-52.93,183140000.0,158460000.0,7.95,6.95,7.75,3.51 - 14.72,-76.15,0.14,32.71,0.7,1810000.0,1276834.0,-10.23,-29.52,-39.06,-56.51,-65.76,-69.85,-,0.26,5.63 7.69,3.68,3.51,-4.62
SMAR,Smartsheet Inc.,Technology | Software - Application | USA,-,3990000000.0,-204500000.0,602100000.0,3.74,3.82,-,,2539.0,Yes,Yes,1.8,-,-,-,6.63,9.13,8.93,-,1.4,1.4,0.0,0.0,-2.88,-1.61,-0.3,-0.15,-42.9,38.1,-,-54.7,52.4,43.7,-83.5,Sep 01 Ae6C,3.01,2.5,-1.4,93.2,3.04,-17.8,-34.1,-33.7,78.9,-28.2,-28.4,,-30.54,128520000.0,125430000.0,3.38,2.26,47.93,27.05 - 85.65,-60.12,26.28,50.56,3.29,1870000.0,6172779.0,0.56,0.21,-10.27,-32.32,-57.91,-55.89,1.41,1.95,5.39 4.76,30.82,34.16,10.84
SMWB,SIMILARWEB LTD.,Communication Services | Internet Content & Information | Israel,-,568690000.0,-82500000.0,152500000.0,0.86,-,-,,926.0,Yes,Yes,1.5,-,-,-,3.73,8.6,-,-,1.1,1.1,0.0,0.0,-10.78,-1.1,-0.91,-0.27,-322.1,8.4,-,,,50.7,-109.3,Aug 09 Ae6C,-15.53,31.05,0.0,36.1,-3.04,-34.8,-88.4,-79.0,75.2,-52.9,-54.1,,-40.27,75040000.0,52390000.0,1.13,5.52,18.86,7.03 - 23.00,-67.83,5.29,34.83,0.56,107590.0,59946.0,-6.45,-19.57,-21.36,-45.19,-64.98,-58.68,-,0.57,6.57 6.97,7.49,7.4,-1.2
SNOW,Snowflake Inc.,Technology | Software - Application | USA,-,55080000000.0,-675600000.0,1640000000.0,17.04,12.31,-,,3992.0,Yes,Yes,2.0,-,401.62,-,33.63,10.06,13.93,169.0,3.2,3.2,0.0,0.0,0.7,-2.17,0.43,0.04,-20.9,163.58,-,,,82.7,-9.8,Aug 24 Ae6C,8.89,0.2,-54.09,67.9,-1.35,-10.0,-12.9,-14.2,64.8,-44.7,-41.3,,-22.44,318360000.0,285930000.0,4.25,1.68,219.67,110.26 - 405.00,-57.66,55.53,52.46,0.78,7250000.0,5642146.0,-13.26,6.67,32.1,-18.2,-44.12,-49.38,-,11.29,6.06 5.50,173.15,171.49,-0.96
SNPS,"Synopsys, Inc.",Technology | Software - Infrastructure | USA,S&P 500,50840000000.0,1030000000.0,4950000000.0,36.64,9.96,-,,16361.0,Yes,Yes,1.8,50.18,33.08,3.1,10.27,9.02,33.2,32.05,1.1,1.1,0.0,0.0,-9.64,6.59,9.99,1.84,12.8,13.08,,22.8,11.7,18.0,12.9,Aug 17 Ae6C,-3.61,0.2,-39.92,92.1,0.1,11.4,18.9,12.7,79.5,22.9,20.9,0.0,2.14,152940000.0,152030000.0,1.29,2.06,409.57,255.02 - 391.17,-15.49,29.62,31.66,1.12,956040.0,1067852.0,-6.88,-11.21,0.88,6.96,-2.13,-10.3,1.24,9.69,3.13 2.44,332.49,330.56,-0.58
SNY,Sanofi,Healthcare | Drug Manufacturers - General | France,-,103460000000.0,6590000000.0,41800000000.0,28.22,2.66,1.75,4.36,95442.0,Yes,Yes,1.2,15.29,9.08,1.48,2.47,1.42,15.08,-,0.9,1.3,0.3,0.26,-6.86,2.62,4.41,1.32,-49.3,5.0,,7.8,2.5,16.0,15.2,Jul 28 e9e6O,-15.55,16.4,0.0,10.5,3.02,,,7.2,69.4,,,,-20.56,2500000000.0,2260000000.0,0.17,1.31,65.0,39.85 - 57.79,-30.65,0.58,26.51,0.62,2910000.0,1805308.0,-1.81,-18.5,-25.13,-16.88,-23.39,-19.57,0.52,1.12,1.48 2.21,40.4,40.08,-0.79
SO,The Southern Company,Utilities | Utilities - Regulated Electric | USA,S&P 500,83730000000.0,3020000000.0,25860000000.0,26.98,1.6,2.72,3.49,27300.0,Yes,Yes,2.7,27.55,20.5,4.18,3.24,2.89,48.57,-,0.6,0.9,1.91,1.78,-0.79,2.83,3.8,1.3,-23.5,5.67,,-2.6,3.0,38.6,196.2,Jul 28 e9e6O,3.93,0.1,-29.65,63.7,1.17,2.4,10.7,4.2,84.9,17.1,11.7,93.5,10.08,1060000000.0,1060000000.0,1.15,2.84,76.44,60.99 - 80.57,-3.35,27.68,52.51,0.73,4300000.0,3117271.0,-0.42,-0.13,3.47,15.23,16.48,13.55,0.5,1.34,2.09 1.44,78.77,77.87,-1.14
SOL,ReneSola Ltd,Technology | Solar | USA,-,357800000.0,4400000.0,60400000.0,5.97,3.18,-,,164.0,Yes,Yes,1.7,85.17,22.22,5.68,5.92,0.86,1.61,-,9.1,9.1,0.1,0.07,-21.72,0.06,0.23,0.02,76.2,81.1,,83.7,-0.2,-84.6,-319.1,Sep 07 Ae6C,-10.44,,,41.3,0.54,0.8,1.1,2.7,42.7,10.3,7.3,0.0,-9.5,66920000.0,20260000.0,7.49,1.93,10.67,3.46 - 9.72,-47.43,47.69,34.81,1.23,784080.0,966345.0,-18.63,-22.69,5.36,-5.19,-30.1,-14.26,2.21,0.4,6.01 5.51,5.33,5.11,-4.13
SPLK,Splunk Inc.,Technology | Software - Infrastructure | USA,-,14390000000.0,-998200000.0,3040000000.0,-4.23,10.58,-,,7000.0,Yes,Yes,2.2,-,47.38,-,4.73,-,8.25,63.94,1.6,1.6,-,-,-17.56,-6.22,1.84,0.25,-45.8,66.94,-,-26.1,23.2,31.9,44.6,Aug 24 Ae6C,-14.17,0.5,-4.26,88.0,0.9,-18.7,422.3,-34.7,74.1,-27.9,-32.8,,-23.18,161790000.0,161610000.0,2.55,2.18,130.7,84.63 - 176.66,-50.57,3.19,29.49,1.26,1890000.0,2386052.0,-7.51,-22.15,-17.24,-32.33,-44.77,-24.53,1.41,4.54,3.96 3.63,88.42,87.33,-1.23
SPNS,Sapiens International Corporation N.V.,Technology | Software - Application | Israel,-,1160000000.0,52800000.0,473300000.0,6.94,3.14,0.7,3.38,4044.0,Yes,Yes,2.0,21.85,15.88,2.04,2.46,2.99,6.6,18.22,1.8,1.8,0.21,0.15,-5.87,0.95,1.31,0.3,31.0,10.3,,16.9,16.4,3.7,14.4,Aug 03 e9e6O,-12.62,71.6,0.0,23.9,4.94,7.6,13.2,9.4,41.5,13.8,11.1,49.0,-24.27,55110000.0,28130000.0,2.81,3.08,28.25,20.00 - 38.32,-45.88,3.7,34.88,0.77,257260.0,196949.0,-4.6,-6.53,-20.32,-20.66,-27.05,-39.8,1.31,0.79,3.27 2.78,21.1,20.74,-1.71
SPOT,Spotify Technology S.A.,Communication Services | Internet Content & Information | Luxembourg,-,20520000000.0,-30800000.0,10650000000.0,11.86,18.05,-,,6617.0,Yes,Yes,2.4,-,-,-,1.93,8.8,5.78,78.78,1.4,1.4,0.75,0.75,-8.57,-0.17,-0.61,-0.88,94.3,120.9,-,45.3,26.8,22.9,-519.2,Jul 27 e9e6O,-4.86,27.24,0.0,57.9,-0.21,-0.4,-1.4,-4.8,25.7,-1.2,-0.3,,-30.64,192950000.0,140690000.0,2.67,2.07,141.43,89.03 - 305.60,-65.83,17.29,39.3,0.77,1820000.0,1396027.0,-4.47,-14.69,-6.96,-22.75,-58.89,-55.38,1.81,4.7,4.23 3.65,106.52,104.42,-1.97
SPR,"Spirit AeroSystems Holdings, Inc.",Industrials | Aerospace & Defense | USA,-,3040000000.0,-408900000.0,4480000000.0,2.15,7.3,0.04,0.14,16100.0,Yes,Yes,1.8,-,24.94,-,0.68,13.4,3.94,-,0.9,1.5,16.74,15.19,-10.49,-3.92,1.16,-0.28,38.0,1082.6,-,-27.8,-10.3,25.5,10.0,Aug 03 e9e6O,-9.94,0.6,-0.16,86.8,4.41,-5.5,-110.5,-10.4,-0.3,-8.5,-9.1,,-26.72,104600000.0,104040000.0,4.93,2.57,46.51,26.18 - 53.31,-45.98,10.01,36.91,0.81,1990000.0,1613879.0,-11.38,-5.33,-10.95,-31.72,-28.45,-33.16,1.7,1.57,4.84 3.97,28.89,28.8,-0.31
SPSC,"SPS Commerce, Inc.",Technology | Software - Infrastructure | USA,-,4290000000.0,47600000.0,415000000.0,13.77,7.09,-,,1901.0,Yes,Yes,2.1,91.27,47.02,6.08,10.33,8.52,16.54,56.4,3.6,3.6,0.0,0.0,-7.97,1.28,2.49,0.52,-4.0,15.62,,53.0,14.8,15.6,5.3,Jul 27 Ae6C,-2.05,0.8,-1.18,,0.69,7.8,9.8,9.5,65.6,14.8,11.5,0.0,-4.84,36090000.0,35880000.0,2.83,7.38,151.71,96.41 - 174.42,-32.76,21.65,38.13,0.68,137580.0,93169.0,-5.94,-9.6,5.46,-6.55,-13.82,-17.61,0.76,4.05,2.84 3.09,119.03,117.28,-1.47
